Time,Point1.x,Point1.y,Point1.z,Point2.x,Point2.y,Point2.z,Point3.x,Point3.y,Point3.z,Point4.x,Point4.y,Point4.z,Point5.x,Point5.y,Point5.z,Point6.x,Point6.y,Point6.z,Point7.x,Point7.y,Point7.z,Point8.x,Point8.y,Point8.z,Point9.x,Point9.y,Point9.z,Point10.x,Point10.y,Point10.z,Point11.x,Point11.y,Point11.z,Point12.x,Point12.y,Point12.z,Point13.x,Point13.y,Point13.z,Point14.x,Point14.y,Point14.z,label
33:32.2,0.473470396,0.208103877,-0.168426625,-0.005639815,-0.715753078,-0.142275572,-0.005229329,-0.71642524,-0.141490459,-0.0056109,-0.716656804,-0.141621351,-0.037449077,-0.71175164,-0.138303041,-0.037099298,-0.712834358,-0.138942242,-0.03738099,-0.714090466,-0.138290882,0.053302139,-0.677146673,-0.037407637,-0.09345223,-0.664073348,-0.030969143,0.013785752,-0.645886421,-0.13254714,-0.030081896,-0.640882611,-0.130119801,0.162444741,-0.511670649,-0.001001071,-0.167850137,-0.504461229,0.011590004,0.320333511,-0.593614042,-0.075985789,1
33:32.8,0.47729218,0.251824561,-0.182701788,0.000365056,-0.718863666,-0.170184851,0.000804008,-0.71933955,-0.169462919,0.000428861,-0.719737887,-0.169564962,-0.031664293,-0.714003682,-0.167105913,-0.031279895,-0.715139568,-0.167823076,-0.031575505,-0.716369092,-0.16690588,0.056027107,-0.682720125,-0.062474012,-0.088936992,-0.666820168,-0.058978081,0.019725151,-0.649551451,-0.156763554,-0.023373023,-0.643409014,-0.154714346,0.162104726,-0.495075941,6.10E-05,-0.156910166,-0.490265101,0.001594067,0.324276775,-0.47097826,-0.057142138,1
33:33.5,0.474881583,0.257060474,-0.179268722,-0.017502084,-0.692845225,-0.171831608,-0.017088305,-0.693365097,-0.171122074,-0.017473277,-0.69373256,-0.171116114,-0.04893288,-0.686796308,-0.164462566,-0.048629478,-0.687944889,-0.165255308,-0.048932597,-0.689190984,-0.164197922,0.047065936,-0.671560884,-0.073059559,-0.095475554,-0.651081979,-0.050683975,0.006847718,-0.628152132,-0.154961348,-0.035696726,-0.620614052,-0.147372961,0.16601108,-0.499693006,-0.003589846,-0.15347892,-0.492364526,0.022935629,0.325997204,-0.472049743,-0.077330112,1
33:34.2,0.4735753,0.252367616,-0.163584948,-0.022104723,-0.691878259,-0.172856092,-0.021690469,-0.692410767,-0.172132492,-0.02208494,-0.692788899,-0.17214942,-0.053369939,-0.685513377,-0.163485527,-0.053076345,-0.686667264,-0.164345503,-0.053385343,-0.687946022,-0.163215637,0.048003048,-0.671171546,-0.078570127,-0.093768314,-0.649852872,-0.047174931,0.003502516,-0.628100276,-0.157597303,-0.038908117,-0.620412409,-0.147426605,0.16968137,-0.500989795,-0.013072096,-0.148752108,-0.490432948,0.028453827,0.33418259,-0.488791525,-0.091232896,1
33:34.8,0.474543363,0.25068056,-0.201008164,-0.008814566,-0.705233932,-0.161399841,-0.008378379,-0.705759585,-0.160666704,-0.008766832,-0.706104875,-0.160680771,-0.039837148,-0.698891521,-0.157689095,-0.039472643,-0.700028181,-0.158492088,-0.039805483,-0.701261282,-0.157559633,0.047463238,-0.675508916,-0.057306767,-0.094032608,-0.653967321,-0.051634789,0.015179611,-0.638885856,-0.147712708,-0.026789645,-0.631118536,-0.145098209,0.164561108,-0.499574214,0.004875764,-0.155585751,-0.485968918,0.004698277,0.331164092,-0.492414713,-0.07090342,1
33:35.5,0.475574237,0.250366598,-0.244555914,0.003027344,-0.705170035,-0.165953636,0.003471035,-0.705674231,-0.165189505,0.003073465,-0.706017733,-0.165220499,-0.028224893,-0.69842726,-0.165170908,-0.027816301,-0.69954747,-0.165917635,-0.028184967,-0.700734138,-0.165150404,0.051926918,-0.676016808,-0.055446386,-0.09091574,-0.652197778,-0.063050747,0.027260937,-0.638733864,-0.150675535,-0.015079689,-0.63026458,-0.1520257,0.169048414,-0.500141323,0.013074532,-0.152682737,-0.485626578,-0.016529799,0.33669281,-0.49001506,-0.071077466,1
33:36.2,0.474765873,0.246328458,-0.192331486,-0.008208558,-0.709073424,-0.162912607,-0.007785249,-0.709536195,-0.162161589,-0.008164219,-0.709890783,-0.162227869,-0.039763276,-0.702487826,-0.160451889,-0.039398834,-0.703621209,-0.161197186,-0.039734554,-0.704815805,-0.160312176,0.044149142,-0.679538131,-0.055003166,-0.099470973,-0.656477988,-0.054826736,0.015457395,-0.642084539,-0.14765048,-0.027147226,-0.633804858,-0.146711111,0.160661787,-0.503411233,0.013339303,-0.159988523,-0.48646155,0.001317739,0.328942865,-0.494694203,-0.058075428,1
33:36.9,0.472863233,0.242459312,-0.167206857,-0.01071123,-0.708443284,-0.151146173,-0.01027517,-0.708933651,-0.150410414,-0.010678305,-0.709297717,-0.150480509,-0.042152695,-0.702875674,-0.14884758,-0.041785751,-0.704011738,-0.14958477,-0.042156465,-0.705233395,-0.148676872,0.042434372,-0.674545825,-0.043011189,-0.101542078,-0.656000793,-0.044008255,0.011322765,-0.640543461,-0.137647867,-0.031423084,-0.63361907,-0.137113571,0.154927298,-0.499263167,0.020971626,-0.164691389,-0.484269232,0.009696007,0.323989153,-0.504386365,-0.048088431,1
33:37.6,0.470008618,0.200432935,-0.157981763,-0.012771609,-0.709290624,-0.138684988,-0.012427673,-0.709945083,-0.13785553,-0.012799016,-0.710211635,-0.137981653,-0.04404819,-0.704903841,-0.133303404,-0.043736614,-0.706039906,-0.133985758,-0.043999761,-0.707292914,-0.1332798,0.047369376,-0.674244344,-0.03697753,-0.09715651,-0.659930468,-0.025866985,0.007978465,-0.640385091,-0.127541065,-0.035237189,-0.634943902,-0.123790741,0.15582405,-0.516901493,0.000547815,-0.163998663,-0.505416572,0.025714159,0.301431417,-0.607545376,-0.077776313,1
33:38.2,0.470776862,0.164865762,-0.144471985,-0.023540655,-0.711316526,-0.076835155,-0.023205902,-0.711918771,-0.076096773,-0.0234272,-0.712215066,-0.076046228,-0.054905932,-0.707208931,-0.072217703,-0.054549709,-0.708298624,-0.072867393,-0.054731023,-0.709523201,-0.072450876,0.037190299,-0.673284471,0.024205446,-0.109475724,-0.659429967,0.032166004,-0.001766162,-0.642208457,-0.069077253,-0.045484677,-0.636993766,-0.066578865,0.146707833,-0.530110896,0.028657302,-0.170623824,-0.514090002,0.046549797,0.269097894,-0.691806436,-0.061779141,1
33:38.9,0.471065021,0.169417585,-0.093191217,-0.024903502,-0.715146422,-0.063373804,-0.024645722,-0.715839505,-0.06256032,-0.02486199,-0.716086149,-0.062528133,-0.055897068,-0.710765779,-0.056696177,-0.055601761,-0.711862266,-0.05723381,-0.055786625,-0.71308589,-0.056810617,0.039758552,-0.675174952,0.034008503,-0.105478682,-0.661233962,0.050638199,-0.003200352,-0.645575941,-0.057579041,-0.046597365,-0.640278518,-0.052682877,0.150287107,-0.529046416,0.038144693,-0.168028727,-0.513057649,0.070109606,0.265260249,-0.676704764,-0.045970082,1
33:39.6,0.467552906,0.237667406,-0.116809189,-0.041241359,-0.691688359,-0.148142338,-0.040847048,-0.692257047,-0.147415876,-0.041248213,-0.692565978,-0.147451162,-0.072098799,-0.686217785,-0.136759043,-0.071814232,-0.687394738,-0.137578964,-0.072146811,-0.688685119,-0.136554956,0.033409033,-0.666522443,-0.059170485,-0.107062794,-0.648609221,-0.019083023,-0.016708026,-0.626782715,-0.135453701,-0.058819976,-0.620145321,-0.12315011,0.155867964,-0.500437975,-0.008391622,-0.161019817,-0.493007362,0.057419538,0.324932098,-0.515875518,-0.087086797,1
33:40.3,0.470028287,0.253861624,-0.237173544,-0.030658249,-0.680402756,-0.199438334,-0.030231493,-0.680942953,-0.198727846,-0.030577047,-0.681330681,-0.198706388,-0.062219676,-0.673793793,-0.192291975,-0.061854694,-0.674927175,-0.193124294,-0.062175628,-0.676191986,-0.192091465,0.03447799,-0.665738225,-0.101038456,-0.108466625,-0.64273268,-0.078918457,-0.005314914,-0.617469013,-0.180836439,-0.047941267,-0.609224677,-0.173167467,0.158464178,-0.50072813,-0.026517808,-0.16373615,-0.485904962,-0.003435373,0.322085738,-0.482148767,-0.106820941,1
