Time,Point1.x,Point1.y,Point1.z,Point2.x,Point2.y,Point2.z,Point3.x,Point3.y,Point3.z,Point4.x,Point4.y,Point4.z,Point5.x,Point5.y,Point5.z,Point6.x,Point6.y,Point6.z,Point7.x,Point7.y,Point7.z,Point8.x,Point8.y,Point8.z,Point9.x,Point9.y,Point9.z,Point10.x,Point10.y,Point10.z,Point11.x,Point11.y,Point11.z,Point12.x,Point12.y,Point12.z,Point13.x,Point13.y,Point13.z,Point14.x,Point14.y,Point14.z,label
50:30.9,0.544389784,0.416611841,-0.042197947,-0.190822259,-0.644729495,-0.014192343,-0.190300196,-0.645206749,-0.013546467,-0.19051379,-0.64556247,-0.013840914,-0.189419761,-0.64520371,0.021046638,-0.189145714,-0.646301925,0.02045083,-0.189676791,-0.647611737,0.021368504,-0.0866386,-0.653455436,-0.066581488,-0.092931762,-0.666218162,0.079802036,-0.144967616,-0.592492521,-0.00712657,-0.146624878,-0.594075322,0.036483288,0.014875485,-0.515721202,-0.155502453,-0.03463091,-0.509174705,0.182151794,0.055744015,-0.32099545,-0.249936819,0
13:03.2,0.50926972,0.428987309,-0.134494684,-0.017452642,-0.697876394,-0.187286377,-0.017101206,-0.698373616,-0.186400414,-0.017152986,-0.698613226,-0.186478138,-0.049641054,-0.693263471,-0.185168982,-0.049346413,-0.694293797,-0.185612679,-0.049534485,-0.695510328,-0.184765339,0.038311347,-0.672712266,-0.078561783,-0.110705875,-0.664174974,-0.083570004,-0.001662176,-0.631596446,-0.170436621,-0.045315862,-0.626994908,-0.1706388,0.145276397,-0.484024495,-0.037528828,-0.187747702,-0.468497664,-0.012120485,0.245087072,-0.271297485,-0.057998061,0
04:51.2,0.631662691,0.392034391,-0.012728289,-0.158873767,-0.661948621,-0.015758514,-0.158479482,-0.662388265,-0.015131474,-0.15877977,-0.662864566,-0.015151262,-0.174253076,-0.659537792,0.010076761,-0.173963711,-0.660487056,0.009488106,-0.174390167,-0.661796749,0.010488272,-0.058337286,-0.663303912,5.34e-05,-0.132245466,-0.664541781,0.1046381,-0.121701062,-0.607089102,-0.005134821,-0.143671155,-0.605592787,0.026366949,-0.012006879,-0.513717055,-0.094992489,-0.067960404,-0.480642229,0.225361109,0.020061363,-0.303935558,-0.19666636,0
16:57.5,0.508330572,0.43220937,-0.055499997,-0.005807337,-0.704829693,-0.099742651,-0.005466439,-0.705352247,-0.098869085,-0.005552435,-0.705641448,-0.098938704,-0.037238237,-0.698688149,-0.099071026,-0.036853567,-0.699753881,-0.09933567,-0.037039962,-0.700955987,-0.098574638,0.042283375,-0.682073474,0.010704756,-0.104346447,-0.666766763,-0.002696037,0.012423337,-0.63874644,-0.083174944,-0.030366616,-0.632228971,-0.085980177,0.143930271,-0.488988012,0.04673598,-0.174744815,-0.473014176,0.051138401,0.183477774,-0.248480782,0.0219419,0
01:58.8,0.762255073,0.812672222,-0.057007595,-0.105777197,-0.500070393,0.013290882,-0.105400749,-0.500354648,0.013942719,-0.105932035,-0.500704348,0.013621569,-0.109850109,-0.491401523,0.047016859,-0.10941942,-0.49231416,0.046158314,-0.109577835,-0.493669063,0.046841383,-0.015269269,-0.548505008,-0.02715373,-0.032832444,-0.528597653,0.114320278,-0.042457968,-0.462542027,0.009404898,-0.048975695,-0.455101371,0.051532745,0.115895659,-0.439930558,-0.095453396,0.050628666,-0.38748455,0.165446758,0.204882741,-0.231624037,-0.175323486,0
04:07.9,0.569772792,0.726809573,0.150553852,-0.278130829,-0.518201947,0.030864239,-0.278176665,-0.518773854,0.031843424,-0.278934598,-0.51852566,0.03198123,-0.279015571,-0.515679777,0.061856031,-0.27899304,-0.516809762,0.061280727,-0.280050457,-0.517827392,0.062045097,-0.181149006,-0.532400489,-0.008044481,-0.192752942,-0.539061069,0.117563248,-0.227334395,-0.470675439,0.038767099,-0.230432212,-0.470516115,0.075857162,-0.125954896,-0.409586191,-0.096939981,-0.134608492,-0.396899432,0.21319747,-0.341116369,-0.261244625,-0.114129424,0
34:42.7,0.467192495,0.247703841,-0.207937752,-0.009913734,-0.717233121,-0.152556181,-0.009454137,-0.717751086,-0.151773453,-0.009790599,-0.718067944,-0.151852608,-0.041541979,-0.712674558,-0.150528669,-0.04112703,-0.713827431,-0.151233196,-0.041435704,-0.715023279,-0.15040493,0.043793652,-0.680427909,-0.04435277,-0.10095042,-0.66574055,-0.046467304,0.009504076,-0.648214102,-0.140037537,-0.033405509,-0.642512262,-0.139816761,0.152665734,-0.503988385,0.010633655,-0.168589443,-0.487542182,0.000299454,0.321129978,-0.520688653,-0.071166039,1
13:27.9,0.489111984,0.406008732,0.002592497,-0.027489331,-0.649187446,-0.250718355,-0.027003471,-0.649621904,-0.25003171,-0.027324602,-0.649999976,-0.249827623,-0.057418399,-0.645812571,-0.246008635,-0.057127077,-0.646630466,-0.246907949,-0.057598263,-0.647893488,-0.245487928,0.029639151,-0.642964244,-0.150622845,-0.112680279,-0.635743439,-0.143291473,-0.010973436,-0.588911057,-0.223152399,-0.052501108,-0.585087359,-0.219801426,0.156148627,-0.491519958,-0.049088109,-0.194943905,-0.490263492,-0.040298939,0.316064,-0.343295455,0.033677578,0
31:11.4,0.422994775,0.323517659,-0.020689352,-0.113344058,-0.660221279,0.006880045,-0.112977408,-0.660632849,0.007614851,-0.113236398,-0.66095686,0.007478476,-0.112312093,-0.662916899,0.040223598,-0.111955248,-0.663996756,0.03979063,-0.112419523,-0.665252626,0.040440559,-0.01029827,-0.645659983,-0.037944078,-0.019195121,-0.671732545,0.097408295,-0.080135383,-0.601207614,0.014847994,-0.082567081,-0.606116772,0.054877043,0.038547669,-0.497104228,-0.121281646,0.003711548,-0.47566089,0.201453447,-0.06555482,-0.295437425,-0.214515924,1
54:09.5,0.561134529,0.382009926,0.002649237,-0.188617423,-0.667853713,-0.034729481,-0.188105524,-0.668434799,-0.03386116,-0.188347682,-0.668632209,-0.034301758,-0.190306962,-0.671660781,-0.005534172,-0.189982787,-0.672617316,-0.006223917,-0.19069089,-0.674018621,-0.005121708,-0.097441591,-0.655826807,-0.066446066,-0.120054103,-0.676471353,0.049582958,-0.156728685,-0.611217558,-0.021579027,-0.163588122,-0.614703953,0.012652159,-0.011087154,-0.514470637,-0.145244718,-0.057572879,-0.538771689,0.174175024,0.086763121,-0.332439125,-0.24147594,0
17:18.8,0.520617402,0.376720273,-0.065452528,0.000552895,-0.688526154,-0.056694746,0.000813181,-0.68912214,-0.055752754,0.000628045,-0.689376771,-0.055666208,-0.030459559,-0.68187815,-0.058395624,-0.030107491,-0.682944059,-0.058660269,-0.030250387,-0.684079945,-0.057647705,0.039407026,-0.675441504,0.058066368,-0.105785288,-0.655383468,0.034100533,0.019045597,-0.624512494,-0.038399935,-0.023126468,-0.616094828,-0.044096231,0.142494425,-0.486964315,0.11014504,-0.18690896,-0.468785673,0.080564499,0.231117085,-0.280221343,0.078492403,0
40:15.4,0.546151292,0.331204441,-0.055492588,-0.119631656,-0.688050568,-0.030616045,-0.119213201,-0.688648343,-0.029970884,-0.119661532,-0.68901825,-0.030131102,-0.119898386,-0.690327942,0.000971079,-0.119458459,-0.691415191,0.000637531,-0.120085754,-0.692689121,0.001449108,-0.023858292,-0.659280896,-0.066512585,-0.03632221,-0.680276692,0.057047367,-0.101689391,-0.627794445,-0.015327454,-0.104663253,-0.630827904,0.020898819,0.024103828,-0.486289382,-0.127350554,-0.007829911,-0.49652192,0.156780481,-0.022644831,-0.307687283,-0.207382679,1
51:48.9,0.579931217,0.450679487,-0.032674025,-0.252651632,-0.584547162,-0.004929781,-0.252189845,-0.585050404,-0.004104614,-0.252408683,-0.585459948,-0.004672766,-0.25099498,-0.585900486,0.030209064,-0.250747859,-0.586999297,0.029547691,-0.251395375,-0.588225067,0.030462742,-0.156179056,-0.612518966,-0.058350801,-0.16226086,-0.627584457,0.08811903,-0.198934913,-0.543082058,0.002690077,-0.200729862,-0.544961452,0.045900345,-0.036844559,-0.499139547,-0.143106505,-0.077596679,-0.483347356,0.189479589,0.070116065,-0.307604402,-0.236005068,0
43:15.5,0.48695063,0.30197328,0.109037665,-0.176885128,-0.666954279,-0.030935287,-0.176493466,-0.667693794,-0.030453444,-0.177152306,-0.668041587,-0.030208111,-0.173229024,-0.673599482,0.001419783,-0.172816575,-0.674813867,0.001233816,-0.173651278,-0.676134825,0.001783371,-0.086781397,-0.641797483,-0.085274935,-0.082514755,-0.681714058,0.048426628,-0.14708358,-0.61257273,-0.018776417,-0.145091623,-0.621797681,0.019788742,-0.066197842,-0.484968692,-0.167239785,-0.023177043,-0.505903244,0.14726305,-0.227514341,-0.332021236,-0.103349805,1
06:40.7,0.371068835,0.865327513,0.018689254,-0.501280367,0.077482857,-0.008383512,-0.501425624,0.077227861,-0.007441521,-0.501608789,0.077935129,-0.007413387,-0.49822852,0.076661699,0.024886847,-0.499064147,0.076210648,0.02381897,-0.500332475,0.076524667,0.02466011,-0.52670759,-0.015564619,-0.065206528,-0.530065179,-0.012713009,0.075181961,-0.451856732,0.023258198,-0.003032923,-0.450866729,0.025573183,0.038321257,-0.440117508,-0.066218242,-0.1402895,-0.399306208,-0.057550631,0.172592163,-0.483521253,0.178570107,-0.21393919,0
34:23.7,0.468455881,0.203869912,-0.1225063,-0.013911993,-0.70354706,-0.103893995,-0.01357214,-0.704180062,-0.103084564,-0.013900797,-0.704429924,-0.103166342,-0.045123566,-0.699577212,-0.099548101,-0.044782296,-0.700750172,-0.100188971,-0.045070209,-0.70198375,-0.099592924,0.044363733,-0.667492092,-0.001446486,-0.100545146,-0.654893816,0.005195618,0.00566613,-0.634703457,-0.09419775,-0.037654378,-0.62991333,-0.091905594,0.152797922,-0.513202786,0.02992567,-0.17063649,-0.49871248,0.045634031,0.3003259,-0.611027896,-0.048788428,1
31:33.8,0.474416608,0.161771806,-0.277516115,-0.006700067,-0.702652037,-0.06285882,-0.006274697,-0.703324258,-0.062048912,-0.006484011,-0.703646183,-0.061943054,-0.038999196,-0.698984504,-0.062797785,-0.038593594,-0.699933648,-0.063527822,-0.038619723,-0.70111692,-0.06308198,0.041672479,-0.671109855,0.049543619,-0.109891914,-0.658325434,0.033158302,0.0129585,-0.635897279,-0.051869869,-0.031804524,-0.630685866,-0.055986166,0.143313259,-0.524847329,0.053376731,-0.175836787,-0.511842251,0.023799419,0.252518743,-0.67652458,-0.084565878,1
34:57.4,0.481129336,0.235359763,-0.045164585,-0.118941985,-0.629831493,0.055434942,-0.118507974,-0.630177915,0.056332588,-0.118440405,-0.630416036,0.056081533,-0.115852289,-0.631254375,0.090517759,-0.11553894,-0.632129252,0.089676857,-0.115995713,-0.633276284,0.090584278,-0.016621644,-0.625459254,0.000185251,-0.01492125,-0.641714633,0.145557404,-0.08816842,-0.576454043,0.063730001,-0.088661946,-0.578412652,0.105810165,0.06502407,-0.524422586,-0.071209662,0.029412255,-0.470300615,0.218003988,0.081759609,-0.494327009,-0.284995794,0
43:27.2,0.423020601,0.684438002,0.060929414,-0.54537648,-0.236328095,-0.072177649,-0.545403361,-0.236880898,-0.071104527,-0.546241522,-0.236139134,-0.071213245,-0.547451794,-0.235588387,-0.039048195,-0.548170865,-0.236187398,-0.039925337,-0.549412727,-0.236744136,-0.039224386,-0.468054414,-0.296929479,-0.111096621,-0.48943159,-0.302113742,0.01664257,-0.4767887,-0.222676545,-0.056556702,-0.481247604,-0.222608536,-0.018536568,-0.339235395,-0.200416744,-0.168321103,-0.321884871,-0.239076048,0.131479263,-0.49129644,0.07205081,-0.134400368,1
14:29.6,0.470660877,0.261059535,0.133971809,-0.023384584,-0.714651406,-0.05676651,-0.02308662,-0.715130925,-0.055910826,-0.023409504,-0.715486228,-0.055709124,-0.052509803,-0.709312737,-0.051189423,-0.052033428,-0.710253835,-0.05190134,-0.052498408,-0.711520731,-0.050817728,0.035375331,-0.678680897,0.039694548,-0.103006043,-0.659439027,0.052179813,-0.003954234,-0.650575757,-0.046083689,-0.044540208,-0.643785536,-0.043178797,0.156838506,-0.524952948,0.067728594,-0.16758804,-0.49645111,0.069935322,0.19393523,-0.720942855,0.041347623,0
30:29.6,0.427427632,0.282393214,-0.006940228,-0.059746604,-0.65277648,0.040835142,-0.059422236,-0.653216004,0.041619778,-0.05957552,-0.653466702,0.041395187,-0.074126847,-0.651347816,0.066030264,-0.07383161,-0.652206123,0.065299749,-0.074251935,-0.653355956,0.066465378,0.032902982,-0.639763713,0.060372829,-0.045208938,-0.646855175,0.157915592,-0.028090551,-0.595303237,0.052709579,-0.050893761,-0.594284117,0.081316948,0.084940277,-0.49319303,-0.022942014,-0.028583286,-0.465684772,0.272357225,0.02211833,-0.313542813,-0.17809236,1
59:56.4,0.328785241,0.84555068,-0.014079468,-0.432104886,-0.001991457,-0.015856981,-0.432260603,-0.002378501,-0.015047312,-0.432620168,-0.001690683,-0.01513648,-0.429867625,-0.002157176,0.016662359,-0.430442303,-0.002558888,0.015763521,-0.431909382,-0.002336016,0.016456366,-0.466639757,-0.093369782,-0.074015856,-0.47435981,-0.093260258,0.060435772,-0.386113644,-0.057200659,-0.007428408,-0.385718048,-0.055308491,0.032898903,-0.380947083,-0.13728632,-0.151962638,-0.373018742,-0.134563446,0.160434723,-0.39572373,0.134425536,-0.213407636,0
01:11.4,0.310922676,0.753787231,-0.058616619,-0.533700228,0.078828976,0.011303186,-0.534002602,0.078180432,0.012200832,-0.53428632,0.078719631,0.01213789,-0.529535294,0.084273107,0.041769266,-0.530265749,0.083743639,0.041291714,-0.531752944,0.083930843,0.042137146,-0.525357664,-0.029207923,-0.012775421,-0.519141376,0.003173521,0.116598606,-0.47007677,0.04141812,0.022343159,-0.467035502,0.051095877,0.061373234,-0.415950239,-0.105748288,-0.074072361,-0.357291579,0.005665486,0.19274354,-0.429614991,0.051729873,-0.191328287,0
04:34.0,0.736410761,0.752042329,-0.110465398,-0.161767855,-0.44486174,-0.205491543,-0.161649436,-0.445249528,-0.204311609,-0.162041053,-0.44535768,-0.204143763,-0.170112789,-0.44076854,-0.177809715,-0.170075461,-0.441681653,-0.17908144,-0.170709535,-0.442834049,-0.17800045,-0.072184384,-0.480359495,-0.220779419,-0.116750836,-0.474928021,-0.112128735,-0.114746757,-0.404465556,-0.185949564,-0.127617314,-0.401808977,-0.15220356,0.088595636,-0.372277617,-0.218717545,-0.129707232,-0.429761976,0.004708529,0.240904734,-0.238654613,-0.261521697,0
34:02.0,0.465081292,0.243381736,-0.140658745,-0.052823395,-0.703331113,-0.151828051,-0.052427225,-0.703877151,-0.151087046,-0.05280216,-0.704207957,-0.151104212,-0.08381515,-0.696259856,-0.14132762,-0.083541937,-0.697447419,-0.14213419,-0.083835959,-0.698693216,-0.1410954,0.02155409,-0.67553246,-0.060745239,-0.119032428,-0.651136398,-0.02377367,-0.024955556,-0.637677431,-0.141485691,-0.066979997,-0.62917763,-0.129855633,0.149124935,-0.505381584,-0.006063487,-0.169128612,-0.479309857,0.041858196,0.321306795,-0.52467823,-0.079742908,1
33:00.8,0.471100307,0.217404461,-0.172192565,-0.025756646,-0.71105206,-0.157514811,-0.025294989,-0.711712956,-0.15678525,-0.025709657,-0.711983204,-0.156933546,-0.057603013,-0.706883967,-0.152264595,-0.057261053,-0.707969546,-0.152930021,-0.057596762,-0.709268034,-0.152192354,0.035020739,-0.676470876,-0.054682732,-0.110862128,-0.663159668,-0.042940617,-0.006191441,-0.641798496,-0.145520926,-0.049918115,-0.636652112,-0.14139843,0.145487502,-0.510339618,-0.010239601,-0.17865099,-0.502329707,0.013656378,0.300892204,-0.568949878,-0.084300637,1
51:57.9,0.539332491,0.366984341,-0.070076714,-0.143158838,-0.71452105,-0.026050806,-0.142839924,-0.71520406,-0.02533555,-0.143223137,-0.715469897,-0.025483847,-0.140804037,-0.716752589,0.008680344,-0.14045465,-0.717778862,0.008328915,-0.141000852,-0.71900183,0.009012699,-0.051590301,-0.656390727,-0.074496746,-0.053773977,-0.676965356,0.06848526,-0.133971006,-0.654766321,-0.019870996,-0.134731084,-0.658778489,0.022298574,-0.034417458,-0.505399764,-0.155993879,-0.015612556,-0.48788783,0.150626183,-0.097853027,-0.476804912,-0.275685072,0
12:01.2,0.518339336,0.25771752,-0.264824388,-0.011020242,-0.712065101,-0.219312191,-0.010592109,-0.712781906,-0.21857357,-0.010944545,-0.713016808,-0.218706846,-0.03992587,-0.703465521,-0.22168231,-0.039513566,-0.704398036,-0.222249269,-0.039673284,-0.705786765,-0.221437454,0.026363999,-0.69013536,-0.115419865,-0.104751647,-0.659867287,-0.13644743,0.011865783,-0.650976419,-0.20569706,-0.027766982,-0.640875995,-0.209844828,0.147332713,-0.537902653,-0.093748212,-0.186180547,-0.510387897,-0.08786273,0.321775705,-0.584095597,-0.129335523,0
43:58.6,0.493140465,0.333696285,0.086171463,-0.181787699,-0.648766994,0.069092274,-0.181412682,-0.649271131,0.069759607,-0.181861311,-0.649660289,0.069619656,-0.176600665,-0.651000559,0.099765062,-0.176300988,-0.652116597,0.099533319,-0.177120686,-0.653213143,0.100191355,-0.095694162,-0.626389146,0.013899326,-0.088777453,-0.649905443,0.137450218,-0.155906528,-0.594889343,0.07992363,-0.153496504,-0.598641276,0.115199327,-0.077889428,-0.485220939,-0.087826744,-0.023621984,-0.461702913,0.222353935,-0.180071965,-0.363207549,-0.167367935,1
