Time,Point1.x,Point1.y,Point1.z,Point2.x,Point2.y,Point2.z,Point3.x,Point3.y,Point3.z,Point4.x,Point4.y,Point4.z,Point5.x,Point5.y,Point5.z,Point6.x,Point6.y,Point6.z,Point7.x,Point7.y,Point7.z,Point8.x,Point8.y,Point8.z,Point9.x,Point9.y,Point9.z,Point10.x,Point10.y,Point10.z,Point11.x,Point11.y,Point11.z,Point12.x,Point12.y,Point12.z,Point13.x,Point13.y,Point13.z,Point14.x,Point14.y,Point14.z,label
44:28.5,0.425263608,0.693317604,0.09756196,-0.535364747,-0.190671861,-0.045086622,-0.535404205,-0.191210046,-0.044021845,-0.536233604,-0.190357879,-0.04406023,-0.535109758,-0.190423071,-0.012524128,-0.535749495,-0.191026151,-0.013315678,-0.537075698,-0.191411421,-0.012574196,-0.480189562,-0.269560188,-0.091691732,-0.491550922,-0.275737792,0.037406921,-0.46407795,-0.19322668,-0.029661655,-0.465637147,-0.193412378,0.008464575,-0.355266809,-0.202369183,-0.142817616,-0.316251338,-0.247565523,0.145102262,-0.512685299,0.055403523,-0.108498812,1
44:29.2,0.419241703,0.707764113,0.091296786,-0.533397198,-0.178082779,-0.035213232,-0.533421636,-0.178575203,-0.034138203,-0.534236789,-0.177781582,-0.034206629,-0.533364475,-0.177277252,-0.001720667,-0.533991933,-0.177948549,-0.002481937,-0.535327733,-0.178279653,-0.001842022,-0.484085858,-0.26136288,-0.083854914,-0.496526301,-0.265781552,0.048892975,-0.461661965,-0.183646962,-0.020538568,-0.463320494,-0.183368489,0.018721819,-0.356478959,-0.206779182,-0.1388264,-0.324650735,-0.235583827,0.155195713,-0.491852641,0.049775578,-0.097098708,1
44:29.9,0.421163458,0.705452776,0.092737309,-0.565056622,-0.205229178,-0.025163889,-0.565132916,-0.205770835,-0.024107933,-0.565869212,-0.204935119,-0.024128675,-0.564628959,-0.204702377,0.007412195,-0.565319002,-0.205383256,0.006599665,-0.566576302,-0.205798656,0.00728941,-0.487848312,-0.268698812,-0.0659132,-0.49720329,-0.275391608,0.063632965,-0.496262819,-0.191908628,-0.011756897,-0.496989399,-0.192623898,0.026431799,-0.360406011,-0.178349942,-0.127917334,-0.32130897,-0.21660237,0.164980888,-0.498074055,0.080334291,-0.088438511,1
44:30.6,0.427203691,0.703884029,0.071274439,-0.562619627,-0.173155352,-0.040512085,-0.56270802,-0.173684224,-0.039478779,-0.563399732,-0.172785923,-0.03963685,-0.562130332,-0.173401788,-0.008102417,-0.562880695,-0.174024239,-0.009012222,-0.56416285,-0.174315587,-0.008317471,-0.501927674,-0.241772085,-0.086886406,-0.510650933,-0.251235574,0.042928696,-0.494639486,-0.169670433,-0.027634621,-0.495280385,-0.171410277,0.010745764,-0.373323053,-0.175408542,-0.141881198,-0.340521991,-0.206184208,0.143270254,-0.495588064,0.057963736,-0.101818442,1
44:31.2,0.426864403,0.712307727,0.084845501,-0.564743519,-0.17587468,-0.020556927,-0.564823806,-0.17641747,-0.019546509,-0.565518439,-0.175531045,-0.019605398,-0.564073622,-0.175673828,0.011463165,-0.564766586,-0.176357612,0.010635376,-0.566070616,-0.176615745,0.011282921,-0.50091809,-0.242370769,-0.063892365,-0.509484828,-0.249714151,0.063350677,-0.495978922,-0.171321064,-0.008473873,-0.496529251,-0.172513187,0.029032469,-0.376797825,-0.172910541,-0.123539709,-0.337869287,-0.199831069,0.161519527,-0.486539006,0.074659042,-0.083642006,1
44:31.9,0.428416985,0.711388767,0.087375755,-0.564035773,-0.173106581,-0.021987915,-0.564109981,-0.173639014,-0.020987034,-0.564799666,-0.172757775,-0.021074533,-0.563403487,-0.172908008,0.010202408,-0.564059377,-0.173579767,0.009370327,-0.565380871,-0.173829868,0.009987354,-0.499813467,-0.240849242,-0.065598965,-0.508518219,-0.247930676,0.062561512,-0.495754361,-0.167973414,-0.009656668,-0.496260941,-0.168935046,0.028123379,-0.374485582,-0.170636639,-0.126934722,-0.335606396,-0.204455256,0.162304878,-0.478055537,0.07231427,-0.086802125,1
44:32.6,0.423521322,0.710842228,0.083213904,-0.559862137,-0.164648294,-0.017855167,-0.559948623,-0.165125415,-0.016804457,-0.560589671,-0.164169699,-0.017003536,-0.559449017,-0.165977105,0.015038967,-0.560177505,-0.166618764,0.014117479,-0.561495185,-0.1668327,0.014840364,-0.500256181,-0.231277585,-0.066900492,-0.510032952,-0.245643735,0.064645767,-0.493255645,-0.161333516,-0.007265806,-0.494263172,-0.164466009,0.031651974,-0.380021274,-0.175511286,-0.119422853,-0.340769112,-0.195232376,0.157007933,-0.509216547,0.029401215,-0.088850021,1
44:33.3,0.423444521,0.71140517,0.060518944,-0.558826447,-0.159430742,-0.045860767,-0.558932841,-0.159966335,-0.04481411,-0.559578538,-0.159037992,-0.045009613,-0.558163524,-0.160217166,-0.013450384,-0.55891335,-0.160785601,-0.014427423,-0.560211897,-0.161079675,-0.013679266,-0.502715945,-0.229373395,-0.093687296,-0.510880589,-0.240799338,0.036196709,-0.49076739,-0.159697026,-0.033465385,-0.491277277,-0.16200389,0.005039692,-0.374670774,-0.169770211,-0.146055579,-0.340313256,-0.206410363,0.136415005,-0.502669036,0.056530252,-0.113264322,1
44:34.0,0.427243781,0.713069117,0.081290875,-0.561861575,-0.174947307,-0.026777744,-0.561902583,-0.175438166,-0.025697231,-0.562547982,-0.174517781,-0.025930882,-0.561112404,-0.176695049,0.006511688,-0.561799526,-0.177319005,0.005579233,-0.563110888,-0.177522793,0.006227732,-0.49625805,-0.239249632,-0.079080343,-0.504643977,-0.254524469,0.053037643,-0.495113999,-0.166669711,-0.014739037,-0.495633215,-0.170061216,0.024274349,-0.372641504,-0.168782935,-0.132780701,-0.334033191,-0.204207391,0.147342443,-0.488268435,0.049939789,-0.093283296,1
44:34.7,0.424375665,0.71380825,0.05288853,-0.562380373,-0.161120594,-0.049453497,-0.562458396,-0.161640108,-0.048421383,-0.563094795,-0.160709232,-0.048640728,-0.562149644,-0.162477255,-0.01709795,-0.562884629,-0.163030386,-0.018062115,-0.564180434,-0.163287401,-0.017388105,-0.503057003,-0.229544103,-0.098574638,-0.513619304,-0.242652848,0.030191422,-0.49458155,-0.158607528,-0.036613703,-0.495689273,-0.161482826,0.001640558,-0.372903019,-0.166331187,-0.150348529,-0.344446242,-0.205087781,0.127843142,-0.490516931,0.063150346,-0.115291953,1
