Time,Point1.x,Point1.y,Point1.z,Point2.x,Point2.y,Point2.z,Point3.x,Point3.y,Point3.z,Point4.x,Point4.y,Point4.z,Point5.x,Point5.y,Point5.z,Point6.x,Point6.y,Point6.z,Point7.x,Point7.y,Point7.z,Point8.x,Point8.y,Point8.z,Point9.x,Point9.y,Point9.z,Point10.x,Point10.y,Point10.z,Point11.x,Point11.y,Point11.z,Point12.x,Point12.y,Point12.z,Point13.x,Point13.y,Point13.z,Point14.x,Point14.y,Point14.z,label
50:38.2,0.546763796,0.247136906,0.159046559,-0.054347113,-0.671076179,-0.051039219,-0.054150589,-0.67143321,-0.050415993,-0.054580119,-0.671804905,-0.050532341,-0.080181301,-0.664460123,-0.040886879,-0.079817377,-0.665416539,-0.041643858,-0.080476746,-0.66664511,-0.040493727,0.012055567,-0.655982196,0.030523539,-0.109489754,-0.633236706,0.068807602,-0.031543765,-0.616023719,-0.036235571,-0.067031555,-0.607752979,-0.026284456,0.104054257,-0.540849626,0.04326728,-0.124811821,-0.480798393,0.130686522,0.132241026,-0.76701051,0.047679782,0
50:39.0,0.60984621,0.412456179,0.011491098,-0.086775318,-0.686584532,-0.02539587,-0.086428672,-0.687262058,-0.024570704,-0.086560518,-0.687652886,-0.025094748,-0.110896714,-0.684724867,-0.007544994,-0.110633217,-0.685735285,-0.00793004,-0.111106709,-0.687032878,-0.006855488,-0.005369814,-0.661162794,0.037404299,-0.124020673,-0.660353482,0.104202747,-0.057673492,-0.628619909,-0.013440609,-0.093228564,-0.62547034,0.006488562,0.03471335,-0.51087141,-0.032656785,-0.067197733,-0.483253121,0.247637749,0.198568001,-0.337853372,-0.118383527,0
50:39.7,0.525527692,0.377056292,-0.156040052,-0.03025274,-0.678072691,-0.068846703,-0.029789036,-0.678647816,-0.067953348,-0.030021293,-0.678882241,-0.068116426,-0.053045679,-0.675878942,-0.052366257,-0.052848805,-0.676862895,-0.053016424,-0.05287493,-0.677984893,-0.052165747,0.050651565,-0.661348343,-0.010317564,-0.057422478,-0.661920309,0.05152607,-0.008567268,-0.620088577,-0.052259445,-0.040399946,-0.617244005,-0.034048796,0.091470927,-0.53080076,-0.07302209,-0.054019019,-0.460290581,0.158327341,0.085572653,-0.437015235,-0.291598797,0
50:40.4,0.546352291,0.327671301,-0.056453106,-0.054161295,-0.700206697,-0.069873095,-0.05367152,-0.701060236,-0.069163799,-0.054005373,-0.701205313,-0.069159985,-0.081461728,-0.698876441,-0.057052135,-0.081190348,-0.699649155,-0.05809927,-0.08157745,-0.701017201,-0.05695653,0.02199655,-0.674450338,0.00564599,-0.109424703,-0.672514319,0.052843571,-0.029500259,-0.641624808,-0.052846193,-0.068001576,-0.637745023,-0.038525581,0.082248442,-0.504490554,-0.038875762,-0.099645384,-0.544501305,0.168874502,0.142556965,-0.307749033,-0.139582276,0
50:41.1,0.60898422,0.263696162,-0.094651484,-0.161805004,-0.673982322,-0.099536896,-0.161353514,-0.67446655,-0.098668337,-0.161722541,-0.674828291,-0.099195004,-0.179000601,-0.673416257,-0.074616194,-0.178728834,-0.674580157,-0.075613737,-0.179281354,-0.67572844,-0.074885845,-0.065881863,-0.651206136,-0.073038578,-0.145260811,-0.656572104,0.022040367,-0.134938806,-0.616149545,-0.090787888,-0.158883601,-0.616851568,-0.063466787,0.0235395,-0.527799666,-0.128531843,-0.113776378,-0.496242911,0.122540236,0.171311095,-0.666501641,-0.313153267,0
50:41.8,0.606723005,0.374459112,-0.043305685,-0.204317406,-0.657926261,-0.060480356,-0.203983903,-0.658558428,-0.059625387,-0.204133615,-0.658885956,-0.060215235,-0.216181591,-0.658923268,-0.03242588,-0.215949103,-0.659956694,-0.032890797,-0.216786772,-0.661227882,-0.032004118,-0.105376691,-0.653445661,-0.057470083,-0.171464875,-0.66357255,0.051950455,-0.158820391,-0.605829298,-0.044935226,-0.178670913,-0.605614424,-0.012692451,-0.027290199,-0.524515212,-0.122083642,-0.075676471,-0.518096447,0.195211411,0.1289884,-0.395963728,-0.227270484,0
50:42.6,0.463295066,0.276277623,-0.040982112,-0.17561084,-0.633973122,-0.031189203,-0.175299108,-0.634428859,-0.030259848,-0.175747305,-0.634479761,-0.030331373,-0.178268805,-0.631483614,0.000167847,-0.17795606,-0.632749796,-0.000578165,-0.178338185,-0.6338678,9.47E-05,-0.074794896,-0.645816863,-0.057724476,-0.099338949,-0.640662074,0.069491386,-0.133503422,-0.58451277,-0.021656275,-0.140854359,-0.580777884,0.01503849,0.018197218,-0.537338138,-0.134317458,-0.061692599,-0.475657761,0.153819799,-0.164409593,-0.620256126,-0.316085219,0
50:43.2,0.509836519,0.209701857,0.229869971,-0.130503938,-0.627365589,-0.011138916,-0.130365789,-0.627774894,-0.010274172,-0.130752191,-0.628092945,-0.010475636,-0.147347376,-0.623672485,0.01354003,-0.146841437,-0.624752641,0.01302886,-0.147645816,-0.625947893,0.013825655,-0.033038393,-0.628534973,0.021686077,-0.122557625,-0.618460655,0.118839264,-0.094157472,-0.57512629,0.003348589,-0.121469364,-0.570244133,0.029637814,0.046692874,-0.529872119,-0.009821124,-0.080351375,-0.502401888,0.21671629,-0.034221966,-0.727689445,-0.049961329,0
50:44.0,0.530260783,0.270553693,0.195906083,-0.18537651,-0.606836736,0.048083544,-0.185145736,-0.607255638,0.049100876,-0.185474142,-0.607639849,0.048892736,-0.19491829,-0.604263365,0.07770443,-0.194530413,-0.605568826,0.07715559,-0.195240572,-0.606716931,0.077736378,-0.085724279,-0.612305522,0.052385807,-0.142976359,-0.610102057,0.167570114,-0.141491801,-0.555721343,0.060669184,-0.159333065,-0.552959859,0.092744589,0.001975883,-0.540834844,-0.001833931,-0.073913626,-0.46441251,0.252157927,-0.004137247,-0.712052584,-0.099665999,0
50:44.7,0.523822212,0.272664821,0.347313185,-0.199947059,-0.607055724,-0.001199961,-0.199736789,-0.607240856,-0.000275612,-0.200305551,-0.607606292,-0.000300169,-0.201939702,-0.603635192,0.03123045,-0.201459914,-0.604475677,0.030541897,-0.202653378,-0.605686665,0.031420946,-0.102917492,-0.621873856,-0.025078535,-0.125484392,-0.61487329,0.107244968,-0.153393477,-0.561181307,0.010300875,-0.160702497,-0.557709098,0.047263145,0.030254886,-0.549706101,-0.002041519,-0.074120812,-0.472935617,0.180099964,-0.022934459,-0.800349772,0.055231094,0
