Time,Point1.x,Point1.y,Point1.z,Point2.x,Point2.y,Point2.z,Point3.x,Point3.y,Point3.z,Point4.x,Point4.y,Point4.z,Point5.x,Point5.y,Point5.z,Point6.x,Point6.y,Point6.z,Point7.x,Point7.y,Point7.z,Point8.x,Point8.y,Point8.z,Point9.x,Point9.y,Point9.z,Point10.x,Point10.y,Point10.z,Point11.x,Point11.y,Point11.z,Point12.x,Point12.y,Point12.z,Point13.x,Point13.y,Point13.z,Point14.x,Point14.y,Point14.z,label
50:30.9,0.544389784,0.416611841,-0.042197947,-0.190822259,-0.644729495,-0.014192343,-0.190300196,-0.645206749,-0.013546467,-0.19051379,-0.64556247,-0.013840914,-0.189419761,-0.64520371,0.021046638,-0.189145714,-0.646301925,0.02045083,-0.189676791,-0.647611737,0.021368504,-0.0866386,-0.653455436,-0.066581488,-0.092931762,-0.666218162,0.079802036,-0.144967616,-0.592492521,-0.00712657,-0.146624878,-0.594075322,0.036483288,0.014875485,-0.515721202,-0.155502453,-0.03463091,-0.509174705,0.182151794,0.055744015,-0.32099545,-0.249936819,0
13:08.0,0.516752076,0.417255393,-0.126638786,0.007670446,-0.706552744,-0.143610477,0.007968708,-0.707065701,-0.142676353,0.007897233,-0.70724833,-0.142885923,-0.023790926,-0.70081228,-0.144439697,-0.023425208,-0.701850653,-0.144872427,-0.023631828,-0.70300585,-0.144060373,0.051987525,-0.682518005,-0.031708479,-0.094110742,-0.668598235,-0.0496912,0.023225324,-0.640166998,-0.126864672,-0.019798812,-0.633725226,-0.130811453,0.158504888,-0.498697191,0.004908003,-0.179701462,-0.469503164,0.012974262,0.266241342,-0.293407142,-0.029473543,0
31:06.6,0.468432832,0.163431141,-0.278827012,-0.020410854,-0.699640095,-0.082517147,-0.019972203,-0.700298846,-0.081784725,-0.020191394,-0.70058459,-0.081664562,-0.052587729,-0.696112573,-0.082136631,-0.052182522,-0.697062373,-0.082901001,-0.052240435,-0.698279679,-0.082404613,0.030456122,-0.667781651,0.027481079,-0.119223431,-0.656223655,0.014367104,-0.000133353,-0.632814705,-0.070963621,-0.044431247,-0.628016472,-0.07404089,0.134041041,-0.525861561,0.03272976,-0.186041594,-0.509819388,0.019521475,0.24391669,-0.687815785,-0.086994886,1
02:24.3,0.326869845,0.869494104,-0.011178977,-0.50087744,0.053515349,-0.017733097,-0.500979006,0.05306191,-0.01686883,-0.50121069,0.05388153,-0.017072439,-0.499723673,0.054561857,0.015465498,-0.500386119,0.054249521,0.014451504,-0.501837313,0.054613706,0.015289783,-0.515195429,-0.0419969,-0.07111001,-0.527167797,-0.036202401,0.06837368,-0.44639197,0.002830599,-0.008024216,-0.447257489,0.006007083,0.033249855,-0.40807718,-0.091372766,-0.14013803,-0.375095099,-0.071100488,0.174695969,-0.393156707,0.161558464,-0.198241115,0
44:14.5,0.417757165,0.680001235,0.049241497,-0.572145462,-0.238768294,-0.077359915,-0.572243214,-0.239346579,-0.076370955,-0.573009014,-0.2385775,-0.076354742,-0.572075963,-0.237660632,-0.045386076,-0.572779119,-0.238297775,-0.046100855,-0.574005008,-0.238852605,-0.045472383,-0.491292447,-0.296625286,-0.117945671,-0.502024293,-0.299914569,0.006999493,-0.501126051,-0.223085821,-0.063536644,-0.502492309,-0.222767815,-0.026394844,-0.36414367,-0.197916523,-0.1794101,-0.327172607,-0.229580402,0.123892069,-0.527826726,0.063364267,-0.13175118,1
31:54.9,0.474278647,0.235894367,-0.172174671,-0.032511309,-0.718616307,-0.154943705,-0.032085266,-0.719216466,-0.154210091,-0.032454882,-0.719462156,-0.154277563,-0.063806511,-0.714243889,-0.143632889,-0.063527264,-0.715411365,-0.144436359,-0.063699454,-0.716663122,-0.143453598,0.043785296,-0.682848454,-0.065158844,-0.097770274,-0.669695079,-0.024672985,-0.009714928,-0.649912536,-0.145602703,-0.051942855,-0.64468509,-0.132950544,0.160164669,-0.510721147,-0.026687387,-0.15783681,-0.499768198,0.043316841,0.329026461,-0.545223653,-0.117066503,1
30:01.3,0.42266556,0.287729336,0.032626604,-0.116779841,-0.655886948,0.051694155,-0.116422132,-0.65630275,0.052435637,-0.11659506,-0.65669024,0.052269936,-0.116760872,-0.658674955,0.085598946,-0.116342939,-0.659659028,0.085093737,-0.116897292,-0.660889149,0.086042643,-0.011306788,-0.641397059,0.008598804,-0.025934931,-0.667621493,0.147213459,-0.082055524,-0.599043548,0.058380604,-0.086119898,-0.603439689,0.098795891,0.052468617,-0.501030028,-0.081227362,-0.003859209,-0.474559605,0.249099016,-0.012727792,-0.325221717,-0.187129736,1
34:13.5,0.476393592,0.270740047,-0.259714983,0.011878409,-0.707005918,-0.166810751,0.012308087,-0.707547188,-0.166061163,0.011903334,-0.707993507,-0.166077375,-0.02010195,-0.70157969,-0.166260719,-0.019742336,-0.702576578,-0.167112827,-0.020006478,-0.703764737,-0.166207075,0.060064595,-0.678065717,-0.053952932,-0.085362077,-0.65935719,-0.064317703,0.032061886,-0.639940262,-0.149884224,-0.010764447,-0.632454038,-0.151670694,0.167206332,-0.481121093,0.020929653,-0.15050377,-0.4811562,-0.006260157,0.304206133,-0.388699919,-0.062761784,1
42:49.1,0.50403266,0.33360469,0.186082189,-0.105152093,-0.644855738,0.018266916,-0.104759067,-0.645347536,0.018991709,-0.105311647,-0.64592582,0.018993378,-0.103736833,-0.648182511,0.049154282,-0.103161387,-0.649390042,0.049055338,-0.103924267,-0.650619686,0.049586535,-0.01651038,-0.631891072,-0.028241873,-0.021106653,-0.65977037,0.097592354,-0.07489077,-0.592487693,0.030500174,-0.07614214,-0.598205924,0.066365719,-0.007532549,-0.490885675,-0.119433552,0.029737644,-0.467805386,0.188895702,-0.160645545,-0.364079088,-0.076978564,1
16:07.2,0.47531718,0.179852644,0.117350513,0.040937774,-0.701293826,-0.023146629,0.041371278,-0.701736331,-0.022311211,0.040980481,-0.702195048,-0.022098541,0.015451028,-0.695945084,-0.029489279,0.016095584,-0.697043002,-0.030045509,0.015693944,-0.698233485,-0.029222012,0.057048477,-0.671792746,0.083197117,-0.068501763,-0.649738491,0.040836334,0.055408671,-0.635924816,-0.006569386,0.018453108,-0.628626704,-0.019949436,0.134497851,-0.524334133,0.106398061,-0.14022857,-0.512655199,0.024526119,0.130707905,-0.748781621,0.073635697,0
